"maxtemp-rfile"
"Iteration" "maxtemp"
("Iteration" "maxtemp")
1 294.3196105957031
2 294.3211059570313
3 294.3321228027344
4 294.3759765625
5 294.5044250488281
6 294.795166015625
7 295.3460998535156
8 296.2079162597656
9 297.391357421875
10 298.8889465332031
11 300.5537414550781
12 302.1116638183594
13 303.3529968261719
14 304.1629028320313
15 304.5216674804688
16 304.5133361816406
17 304.258056640625
18 303.863037109375
19 303.40478515625
20 302.9826049804688
21 302.694091796875
22 302.4342651367188
23 302.2307739257813
24 302.0935974121094
25 301.98828125
26 301.9218139648438
27 301.863037109375
28 301.8184814453125
29 301.7783813476563
30 301.7397155761719
31 301.7037963867188
32 301.6830444335938
33 301.6803283691406
34 301.678466796875
35 301.6813354492188
36 301.6973571777344
37 301.71142578125
38 301.7228698730469
39 301.7330932617188
40 301.7409973144531
41 301.7478942871094
42 301.7523193359375
43 301.7558288574219
44 301.7576293945313
45 301.7579956054688
46 301.7584533691406
47 301.7582397460938
48 301.7578735351563
49 301.7607116699219
50 301.763916015625
51 301.7662353515625
52 301.7676696777344
53 301.7684631347656
54 301.7687377929688
55 301.7689208984375
56 301.768798828125
57 301.7683715820313
58 301.7679443359375
59 301.7675476074219
60 301.76708984375
61 301.7666320800781
62 301.7662048339844
63 301.7658081054688
64 301.7654724121094
65 301.7651672363281
66 301.7649230957031
67 301.7646789550781
68 301.7644653320313
69 301.7642822265625
70 301.7640991210938
71 301.7639770507813
72 301.7638244628906
73 301.7637329101563
74 301.7636413574219
75 301.7635498046875
76 301.7634887695313
77 301.7634582519531
78 301.7633972167969
79 301.7633972167969
80 301.7633972167969
81 301.763427734375
82 301.7634582519531
83 301.7635192871094
84 301.7636108398438
85 301.7637023925781
86 301.7638244628906
87 301.7639770507813
88 301.7641296386719
89 301.7642822265625
90 301.7644653320313
91 301.7646179199219
92 301.7648010253906
93 301.7649536132813
94 301.7651062011719
95 301.7652587890625
96 301.765380859375
97 301.7655029296875
98 301.765625
99 301.7657165527344
100 301.7658081054688
101 301.765869140625
102 301.7658996582031
103 301.7659301757813
